{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.15869} 另一个迟缓的秩序者？饶了我吧。我需要医生，立即！我在这里无聊得要死。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.52797} 医院是治病的地方，不是消遣的地方。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.45633} 这点我已经看出来了。但你们至少可以设个图书室吧？总得有什么打发时间。我的意思是，给我们这座城里少数识字的人……
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.18366} 如果这里真有图书室，我大概会把自己关在里面，彻底荒废职责。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.38562} 我不是来听你建议的。要么告诉我你的症状，要么继续享受护理员的陪伴。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.31682} 注意你的语气。护理员已经尽一切所能帮所有人了。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.33546} 但你们至少可以设个图书室吧？总得有什么打发时间。我的意思是，给我们这座城里少数识字的人……
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.32935} 我是医生。丹尼尔·丹科夫斯基，愿为你效劳。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.34398} 啊！你就是从首都来的名士！我期待见识你的手段。在这座城里，受过像样教育的人可是稀缺货。能见到一个与我领域相邻的专家，我很高兴。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.57023} 相邻领域？你是医学同僚？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.20481} 天哪，当然不是！如果我是，疫情第一天就该自尽了。很显然，这个外省泥坑已经没救了。所以，不，我不是医师。我的领域在另一门自然科学——植物学。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.24640} 我知道草原特有植物有很高的科学前景。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.5069} 那只是因为那些野蛮人把他们宝贝的特有种看得太紧。这些“神圣植物”远没有人们说得那样迷人。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.41422} 是吗？有人告诉我，twyre（特维草）、扫帚草和白鞭草有很强的药用性质。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.12671} 胡说。那些野蛮人准备把什么东西都称作奇迹。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.35742} 这……是个独特的看法。但我们先处理你的健康。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.791} 我得承认，我自己也受够了草医和民间偏方。所以是什么把你带到现代医学这里来的？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.4451} 不过我真希望你是医生。我们现在极缺医师。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.30808} 这不是理所当然吗？任何聪明到能熬过医学训练的人，都会有足够判断力逃走。不会把一辈子耗在这个穷乡僻壤。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.30317} 有人认为那是人道的使命。对人的责任……不过算了。谈谈你的症状。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.1839} 我自己也从没打算落到这个穷乡僻壤里，可你看我现在。能和一个懂我的人说话，感觉不错。不必伪装。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.2144} 难得有病人懂得欣赏科学方法。我相信我可以依赖你的充分配合，以完成诊断。
