{UI.Interact.Dialog} 交谈
{UI.Interact.DialogUnavailableApat} 还有什么开口说话的必要么……对一切都很冷漠……
{UI.Interact.DialogUnavailablePsycho} 我没法说话了！这个世界充斥着狂躁！
{UI.Interact.Trade} 交易
{UI.Interact.Enter} 打开
{UI.Interact.Leave} 打开
{UI.Interact.Locked} 已锁
{UI.Interact.Probe} 拿取样本
{UI.Interact.Inspection} 检查
{UI.Interact.Cloud} 想法
{UI.Interact.Interact} 使用
{UI.Interact.EnterDoor} 打开
{UI.Interact.LeaveDoor} 关闭
{UI.Interact.Loot} 搜刮
{UI.Interact.Take} 拿取
{UI.Interact.TakeMicroscope} 拿取
{UI.Interact.Sit} 坐下
{UI.Interact.Break} 打碎
{UI.Interact.NotBreak} 它不会碎
{UI.Interact.Kick} 踢
{UI.Interact.Push} 推
{UI.Interact.Enable} 打开
{UI.Interact.Disable} 关闭
{UI.Interact.Press} 按下
{UI.Interact.Hit} 击打
{UI.Interact.Spin} 旋转
{UI.Interact.Stop} 停止
{UI.Interact.Inject} 管理
{UI.Interact.TakeASample} 拿取样本
{UI.Interact.Release} 释放
{UI.Interact.MakeLiminal} 看见活着的伊娃
{UI.Interact.MakeRevertLiminal} 纵身跃入
{UI.Interact.MindPalace} 集中精神
{UI.Interact.PutANutshell} 放入坚果壳
{UI.Interact.Complete} 完成
{UI.Interact.Drink} 饮用
{UI.Interact.FillOutPaperwork} 填写表格
{UI.Interact.RingTheBell} 摇铃
{UI.Interact.Touch} 触摸
{UI.Interact.TimeSkip} 跳过时间
{UI.Interact.BrewTheVaccine} 制作疫苗
{UI.Interact.Digging} 挖掘
{UI.Interact.TakeProbe} 拿取样本
{UI.Interact.StartSurgery} 开始手术
