{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.29992} 我们还是说回证词上来吧，丹科夫斯基学士。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.3615} “证词”？看来这<b>确实</b>是审讯啊。是初步调查。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.14825} 请保持冷静。部里对您的实验室塔纳提卡的调查，早在九月初就开始了。按规定，您必须全程在场。\n\n可您偏在这个关头，急匆匆跑去了穷乡僻壤，就为了带回来所谓的……
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.10415} 不死之人。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.28714} 对。那座小镇爆发了科学界闻所未闻的热病，而您又恰巧是瘟疫爆发期间唯一在那儿的医学专家。\n\n您想走也走不了，只能留下领导抗疫，显然还做了实地研究。以上陈述是否属实？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.28194} 属实。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.6979} 您失败了，彻头彻尾的失败。当然，情况都那样了，还要指责您这位医学专家，实属愚蠢。\n\n偏远闭塞，通讯断绝，环境恶劣，根本不适合搞科学研究。换了哪位医生能成功？谁都怪不了您。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.23678} 恰恰相反，有不少人暗示是我故意把病毒带回首都。照这么说，我该砌堵墙把自己隔离开，在尸体上别份实验报告？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.9579} 恰恰相反，有不少人暗示是我故意把病毒带回首都。照这么说，我该砌堵墙把自己隔离开，在尸体上别份实验报告？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.20941} 我说了不怪您，一点不怪。您是一个字都没听进去吗？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.23754} 何况去年那道命令——什么？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.9901} 这就对了。您要真这么善良，怎么还老疑神疑鬼？我可不认为这是出于良心不安……
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.10217} 我觉得不能排除是有人设局。巧合也太多了，先是有人给我写信说了西蒙的事，引我去小镇，却没人让我见他。接着那地方就封锁了，不让我离开。\n\n我被困在那儿等死，连最后的几个小时都在研究沙疫的时候，塔纳提卡又在迎来科学突破前夕被毁。我不得不承认，设这个局的人非常狡猾。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.3778} 我只看见了个自我中心的偏执狂。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.7990} 你还想知道什么？我还能怎么做？行吧。我第一个想到的就是隔离。研究需要时间，只能先把患者关在家里。\n\n不单单是把人锁屋里，我是封锁了整个街区，能多争取一天是一天。不用说，我还封死了出去的路，谁也别想离开镇子。但疫情扩散得实在是太快了。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.10408} ……而您做的一切恰恰加速了小镇的灭亡。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.14412} 啊，你是指引发民怨？我不需要他们的爱戴，只要能维持纪律就行。手术难度大，病人又不愿配合，这种情况下手术没法做。\n\n所以得把病人绑住，控制住，或者给病人打麻醉。我做的每个决策都有正当理由，要不然小镇连七天都撑不过去。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.16347} 您在戈尔洪地区待了十二天。档案就在桌上，您看过了吧？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.30765} 您真这么觉得？那好，我们来捋一捋您所谓的决策的时间线。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.284} 我看这根本就是连环失误。以您的聪明才智，不可能没怀疑过有人从中作梗，或者有意搞破坏。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.23236} 您真的知道自己做的每个决策会有什么样的后果么？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.3514} 我看到的是个精疲力竭，支离破碎，都不确定自己是不是还活着的男人。我想帮您振作起来。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.3869} 您似乎已经不知道自己是谁，看着您都让我心生恐惧，就好像我面前的并非人类。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.21822} 丹科夫斯基，您真的只有一个人么？这两小时里，我感觉有无数人接连占据同一具躯壳。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.29730} 怎么了？是不是有什么东西让您吃了一惊？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.14541} 何况您当时极度疲惫，再加上实验室突遭变故的压力……
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.27154} 那才是正确的做法。您是专家，其中的风险有多大，难道您不清楚么？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.18929} 正是如此。没有设备，没有得力助手，也没有权力，更何况，我并非流行病专家。我已经竭尽所能了。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.9248} 正是如此。没有设备，没有得力助手，也没有权力，更何况，我并非流行病专家。我已经竭尽所能了。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.18044} 我说了不怪您，一点不怪。您是一个字都没听进去吗？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.29131} 何况您当时极度疲惫，再加上实验室突遭变故的压力……
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.10263} 我没理解错的话，您说的竭尽所能等于束手无策。环境束缚了您，您什么都做不了。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Interrogation.32582} 倒也<b>不算错</b>。不过细节决定成败，你好像想给我下套。
