{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.33484} 怎么样？是什么？能看见未来吗？也让我看看！给我，给我！
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.42715} 排队，小不点！让我看一眼就还你……呃，全是虫子和小毛毛。看起来未来不怎么样……
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.63317} 你为什么用你的狗眼看？你又不是动物！
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.38873} 是啊，可动物也许能看得更远。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.31672} 好消息：显微镜找到了。坏消息：它正被一群野狗撕咬。噢，真恐怖。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.38870} 需要帮忙吗，孩子们？我可以教你们怎么用这东西。来，我演示给你们看。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.62029} 哦，是你。嘿，你那玩意坏了。什么都看不见——只有虫子和怪怪的小毛毛。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.2236} 也许那<i>就是</i>未来？比如很多很多年以后，地上只剩虫子和头发？仔细想想还挺伤心的……
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.7632} 你们为什么觉得它能显示未来？
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.16498} 看见里面这些不同的玻璃片了吗？这种玻璃透过去看，就能看见未来。人人都知道！
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.39626} 西蒙爷爷喜欢用玻璃做各种东西——我只在他那里见过这种玩意！你为什么偷西蒙爷爷的东西，你这个混蛋？！所以我们才从你那里偷回来。这叫<i>正义。</i>
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.47636} 你们认识西蒙·凯恩？我就是来见他的。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.38214} 什么，你不知道吗，先生？
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.30786} 他不知道……
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.65086} 说出来，你这个怪物！你从哪儿弄到这玩意的？你对西蒙做了什么？是你干的，对不对？是不是？！
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.50508} 我本来正在去拜访西蒙的路上，要不是你们，我早就到了。请把显微镜还给我。它是非常精密的仪器。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.19180} “还给我，还给我”——你能别哼哼了吗？你这么想要回去，那拿什么跟我们换？
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.56581} 把玩意还给他，让他高高兴兴走吧。反正它坏了——一点未来都看不见。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.13950} 不，不，不。西蒙爷爷教过我们：“不用<i>费力</i>得到的东西，也不<i>值得</i>费力！”如果我们就这么把玩意还给他，那里面没有费力。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.37577} 我可以赏你们一记耳光。<i>那</i>算不算足够“费力”？
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.43115} ……你刚才说什么？再说一遍。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.9900} 冷静，小不点，别生气。他不是这附近的人，只是还不懂规矩。\n\n嘿，先生，你是新来的。这次我们就放过你，但你该知道：在这儿不能惹孩子，<i>绝对</i>不能打孩子。要是你敢……
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.16326} 你试试看。我们会杀了你。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.5649} 真是个可怕的小姑娘。好吧，抱歉，我只是开玩笑。只是……把显微镜还给我。请。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.42375} 链子上挂着的亮东西是什么？给我们看看！
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.35826} 哦，是表！真漂亮！我们做个交易：你把表给我们，我们就把你的玩意还给你。只是要给我们看看它怎么用，好吗？我们还好奇呢！
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.5780} 那我们能从你这儿得到什么？
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.4559} 做善事的满足感。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.3401} 满足感又不能装进口袋，对吧？
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.17255} 换句话说，我正在光天化日之下被抢劫。好吧，看看我能拿什么和你们换。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.26466} 嗯，显微镜也不能正好装进口袋。
{Dialogs2.Days.Intro.Intro_Maw.Intro_Maw_Dogheads_Microscope.37211} 你们想交易？好。让我看看口袋里能掏出什么……
