{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.459} 请问哪里可以买到论文？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.21750} 在文具店。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.24163} 你看，我需要证明我和孩子没病的文件。你是丹科夫斯基医生，对吧？医院负责人？你能开这种证明吗？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.42165} 你为什么需要那个？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.40084} 请你理解，我得把孩子带出镇子。军方说他们能把我们从这场噩梦里撤走。但他们要求有权威机构出具健康证明。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.46225} 嗯。这倒是头一回。到目前为止，还没人向我提出过这种请求。我想你省略了某些细节。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.52434} 我只是想救我的孩子！趁他们还活着，趁我还活着。谁会不抓住离开的机会？我们检查过了，也检测过了——我们没有沙疫。可封锁线的守卫还是把我们赶回来了……
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.19185} 不，这里有问题……利特尔！雅科夫，请过来。这位先生的沙疫检测是阴性吗？他不是我们的病人，对吧？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.2112} 在这家医院里，人人都是病人。包括我们自己……不，丹科夫斯基先生！拼布公民和他的未成年子女，检测结果中没有沙疫痕迹，这一点我们已经妥善确认。不过……该怎么说呢……
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.56210} 说下去，利特尔。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.5422} 我是说，病人在发烧，明眼人都能看出来！护工还在病历里写了几句关于他皮肤的备注。我想军方就是因为这个才犹豫。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.42125} 该死的官僚！收起你们这套耍威风吧。我们没有沙疫，那就放我们出去。谁管什么发烧。也许只是我紧张！发生了这么多事，不感染什么病也会倒下死掉。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.17399} 在我看来，这正是官僚制度履行职责的一例。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.51032} 谢谢你说明情况，利特尔。至于您，亲爱的先生，军方有充分理由怀疑您的健康，您本该提到这一点。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.28907} 你们为什么就不能明白，我有孩子！这不是为了我，我只是必须把他们带出去！我求你，开文件吧，别让我们死在这里。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.31122} 你必须把孩子带出去，而我必须确认你不会危及其他人——也不会危及你自己。先从检查开始。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.30412} 我没有沙疫！为什么这还不够，你们还想找出什么？？你们这些残酷无心的恶鬼——
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.28331} 危险感染不止沙疫。到屏风后面去；这是你拿到那些文件的唯一机会。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.11902} 我们都体面些。弄清自己发烧的原因，对你确实有好处。对你的孩子也是。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.23097} 你在浪费我的时间。我做完其他职责后，会再处理你的事。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.50665} 我真听够了这些“不过”、“但是还有一点”……
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.60277} 军队还是老样子。现在他们撤离人，连医院都不知会一声。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.55869} 你怎么知道自己没病？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.51153} 我是说……我感觉很好，我的孩子也一样。你会给我文件吗？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.38889} 替你高兴。但这和我有什么关系？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.38870} 感觉良好不等于健康。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_Interview.58798} 什么文件？你需要处方吗？
