{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.26079} 您现在大概要笑话我了，但我是真有事。帮我写封信吧。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.22406} 帮你斟酌措辞？
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.14903} 那也是，不过说出来丢人，我不会写字。读也读得不怎么样。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.28588} 我为什么要笑话？
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.25691} 这很丢人，可我不会写字，读书也是一个音节一个音节地拼。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.29321} 你知道自己的弱点，所以一切都在你自己手里。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.24200} 我就知道您会把我打发走。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.26603} 完全不是。我只是泛泛而谈。什么时候开始用脑子都不晚。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.8681} 也就是说，您会帮我？
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.8326} 你为什么来找我？该去找熟人。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.22296} 他们更会笑话我。大家住在同一座城里——他们识字，我不识。您从首都来，比我们这些小民聪明，那是明摆着的。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.28792} 信写给谁？
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.30373} 你们城这么小，亲自去说不是更简单？
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.17579} 这是要寄给我儿子的。他有出息，受过教育，不像我。在图利姆工作。当然不是首都，可总比我们这个破地方好。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.9491} 那你怎么把信送给他？火车有麻烦。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.5967} 如果你急着寄信，就自己找办法。你也看得见，我暂时还在城里。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.938} 寄出去最容易。我家养鸽子。能飞到！
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.32608} 就在公寓里？我好像没见过鸽棚。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.28654} 在阁楼上。
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.1666} 以前也用它们给你儿子送过东西？
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.9216} 那还用说！
{ArchiveDialogs.NewArchive.Day3_Visitors.Nikita.Day3_V2_Nikita_Request.6661} 也就是说，有人可以替你按口述写信。
