{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.18577} 丹科夫斯基。关于我的妻子，我只问你一个问题。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.25016} 当然。我想你已经取得了她的同意，才来谈这些微妙的事。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.24886} 卡捷琳娜从来没有什么神秘天赋，是不是？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.4259} ……抱歉——你说什么？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.10723} 别胡思乱想。我敬重她，至今仍敬重她那份朴素的信念。她能看见世界的丑陋，并接纳它，而不是硬把它缝成什么新东西。但那比神秘主义更深。那是一个普通人灵魂的美。不是吗？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.14346} 该死，你为什么问我？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.62431} 这些年来，我一直以为她不能生育，是她那温暖天赋所付出的代价。我们背负这副轭，是因为行使奇迹之力本就要偿还这样的价码。可若真是如此，她就不可能被治好。而你治好了她。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.4637} 你是说，我把她从女主人变成了一个普通女人？也许我是这么做了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.653} 你把这座镇、我的妻子，还有我的未来从死亡手里救了回来。我为自己曾怀疑你而羞愧。这里将开始另一种生活。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.47095} 你怎么看多面体？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.43096} 这些年来，它一直让我厌烦。一个空心的玻璃饰物——金钱灌进去，性命为它毁掉，年月为它铺下。耗费的劳力与它这装饰品全不相称。可如今它注定要完，我反倒有些怜惜它了。毕竟它是美的。可惜他们要把它拆掉。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.4949} 那可未必……
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.7033} 好笑话，丹科夫斯基。五天前，我会相信你愿意为一个建筑奇物牺牲数万人。今天我看得出，你是个配得上敬意的人——虽然我也明白，你对凯恩家那些设计仍然念念不忘。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.23330} 恐怕你一点也不了解我。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.1214} 再见，亚历山大。我很高兴你熬过了这场噩梦。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.30221} 多面体不只是个小玩意。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.7373} 我看得出你相信这一点。而且你不同于凯恩家，不会去追逐下一个疯念头。凡是把鼻子伸出自己盘子之外的人，都免不了为失去而悲伤。也许你该同卡捷琳娜谈谈这件事。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.54518} 你误会我了。我不会允许……算了，当我没说。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.22668} 我已经受够了泰尔曼试图把我的灵魂剖开的把戏。卡捷琳娜也不该踏进那里。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.20081} 另一种生活？怎样的生活？
