{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.12906} 丹科夫斯基……求你，让我一个人待着。
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.2053} 在这座镇上，想什么时候独处就什么时候独处，实在是太大的奢侈。
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.39098} 你还没从昨天走过自己那条街的事里缓过来？还是又出了别的事？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.12561} 好吧，既然你似乎有心情寒暄，那就回答我这个问题：如果你发现自己把一生都献给了一项事业，结果它毫无意义、空洞、徒劳——你会怎么做？你会怎么活下去？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.21727} 我知道那是什么感觉。学院里有不少人也认为我的塔纳提卡毫无意义、空洞、徒劳。
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.51136} 你是梦筑师之一，尤利娅。你为什么会觉得自己的工作毫无意义、空洞？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.32227} 我想你已经知道答案了——毕竟昨天你和我一起在中庭。那条街，我早该亲自走一遍，用自己来检验自己的造物。可我信了维克多，告诉自己他的评估已经足够。现在我总在想：也许我一直避开它，是因为我害怕它会让我看见真正的自己？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.41584} 请原谅。有什么事让你不安了吗，尤利娅？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.42118} 我不会称之为“不安”。既然你似乎有心情寒暄，那就回答我这个问题：如果你发现自己把一生都献给了一项事业，结果它毫无意义、空洞、徒劳——你会怎么做？你会怎么活下去？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.32728} 学院里也有许多人这样评价我的塔纳提卡。那可是我一生的事业。
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.34718} 那你是怎么承受的？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.49178} 我没有。我根本承受不了。
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.1379} 我跑到天涯海角，只为研究一个不死之人。结果如何，你知道……
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.880} 你是梦筑师之一，尤利娅。你为什么会觉得自己的工作毫无意义、空洞？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.58669} 昨天我走过了自己设计的那条街，就在中庭。我早该这么做，早该用自己来检验自己的造物。可我信了维克多，告诉自己他的评估已经足够。现在我总在想：也许我一直避开它，是因为我害怕它会让我看见真正的自己？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.36590} 你看见了什么？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.36909} 我很遗憾。
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.27249} 那只是一条街。这不代表你的全部工作都毫无意义。
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.45814} 什么真相？你是什么意思？
{Dialogs2.Days.Day9.Day9_Q13_SaveLuricheva.Day9_Q13_Yulia_BrokenLife.31008} 那条街让我看见了我到底是什么人，也让我看见我的科学研究和实践成果究竟值什么。什么都不值。它们什么都不值。我把这么多年献给了……空无。我的整个事业都是错误。
