{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.14010} 你像是迷路了。需要我帮忙吗？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.20641} 你知道有一道血迹一路通到你家门口吗？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.22533} 我不太明白。这是某种比喻吗？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.3605} 不，地上真的有血滴。我在鸦石，有人告诉我彼得在那儿割伤了自己，然后去了胁腹区。我想他是到你这里来了？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.19034} 我在找彼得·斯塔马京。我想他应该就在这附近。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.26482} 是的，他来过，来找医生。我不是医生，但能止血。所以我帮了他。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.20178} 他为什么偏偏决定来找你？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.29938} 有难处的人总会来找我。你也是。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.19460} 于是我来了——而且又迟了一步。这事已经太荒唐了。我花了半天追着他满城跑，却总是慢他一步！
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.1107} 你这话什么意思？我可不是“有难处”。或者说，我现在唯一的难处，就是得赶上斯塔马京。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.3818} 我明白。这就是彼得：总把伸手拉他的人推开。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.11519} 你那是打比方，可我为了伸手拉他，腿都要跑断了。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.12823} 真是个奇特的人。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.1343} 听说他小时候有一次从窗户跳出去，只为了躲开一个来访的姨妈——她想抱抱他。他就是这么厌恶被人碰触。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.5978} 哦，我懂了——那我得改改手段。我该设个埋伏。在他家附近放个捕熊夹，再躲进灌木丛里。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.24753} 那恐怕帮不上忙。他像鹿，或者羚羊。一里外就能闻到捕食者，然后绕开。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.14765} 我可不是捕食者，差得远。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.9839} 不过现在，你也许能在家里找到他。他很累，失了很多血。他一时半会儿哪儿也去不了，这一点可以肯定。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.17193} 听到这个倒好。希望我赶到时他还在那儿——别又跑第二圈。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.2810} 那血……你该不会问过他究竟是怎么割伤自己的吧？看他失血的量，伤口一定很严重。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.4797} 我问过，但他不太愿意说。我有个很糟的猜想：那不是意外，他是故意伤了自己。他来找我的，不只是绷带。他背着很重的愧疚，想听听我的建议。我帮了他……我想是帮了。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.9041} 要是他想割腕，那到底有什么事能压得他这么重？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.32070} 多面体毁了他。自从造出那座怪物，彼得就不再像他自己了。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.8426} 我还以为多面体是奇迹，不是什么怪物。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.7509} 多面体是一座可怕的建筑。它让我害怕。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.9156} 它确实很有震慑力。但我不觉得它在我心里留下了恐惧的位置。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.17593} 许多人觉得那是奇迹……可我确信它是恶物。它把孩子从父母身边夺走。它毁掉家庭。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.15887} 我还以为孩子们在里面很安全？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.17660} 你看看那东西。它就是焦虑显出了形！谁能待在里面，还安然无恙？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.27503} 所以彼得今天就是来谈这个？多面体？你们具体说了什么？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.5234} 我不能告诉你。我答应过彼得，会把我们的谈话带进坟墓。我只能说，彼得后来好些了。他离开时很平静。我相信你现在过去，能在他家找到他。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.26661} 我同意。还有那吱嘎声……像是随时会塌下来。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.11851} 正是。多面体本该是对恐惧的胜利……结果却成了恐惧的化身。多少家庭都因为它毁了！
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.24662} 多面体正是我想和他谈的事。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.15951} 那你得准备好一场不愉快的谈话了。许多人觉得多面体是奇迹……可我确信它是恶物。它把孩子从父母身边夺走。它毁掉家庭。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.1911} 我倒希望自己也能这么做。那能省去我许多麻烦。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.20299} 我没打算抱他。我只是想谈谈。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.7028} 没区别。他像鹿，或者羚羊。一里外就能闻到捕食者，然后绕开。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.27456} 我看你和他应该很亲近？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.3633} 哦，不。我不觉得彼得是能让任何人亲近的人。他总把伸手拉他的人推开。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.20408} 天哪！看来我又晚了。这事已经太荒唐了。我花了半天追着他满城跑，却总是慢他一步！
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.17574} 这里是什么地方？像收容所一类的？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.32595} 是，这里是庇护所。不过，凡是不赶你走的地方，都可以叫庇护所。要是你无处可去，可以留下。我会给你找个位置。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.20662} 恐怕我的处境正相反——我要去的地方太多了！我脑子里有一张……想象出来的地图，上面总是不停冒出新的事。好像我什么都不做，世界就会停转，小镇就会死去。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.5129} 这种感觉我太熟悉了。责任的重量有时会压得人喘不过气。要是你觉得一切都太沉，记住，这里永远欢迎你。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.14848} 谢谢。我会记着的。但我现在是为一件事来的。我在找彼得·斯塔马京。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.14790} 你怎么会想到在这座城里开一间庇护所？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.16191} 这是家里的传承。这座城过去吸引过许多做梦的人。那些在旧世界里喘不过气的人来到这里，希望造出新的东西。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.21019} 追逐梦想。是啊，我看你们这座城时，也有这种感觉。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.30526} 我父亲也是那样的人。他离开军队，最后来到这里。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.1257} 真是奇特的经历——过了那么久的军旅生活，最后却选了这座城。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.30648} 他现在已经死了，而我想……我想配得上他。我想做些好事，让我们的姓氏——拉维尔这个姓——被人善意地记住。所以我开了庇护所。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.3771} 他怎么死的？是瘟疫带走了他吗？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.6854} 不，不是瘟疫。他是……不，抱歉。我不能谈这个。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.13754} 但你能告诉我该去哪儿找彼得·斯塔马京，对吧？我就是为这个来的。我想他来过这里？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.11845} 不，抱歉。我不是有意让你难堪。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.32375} 没关系。如果你想在这里过夜，庇护所随时给你用。我会给你找个位置。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.14969} 谢谢，但我不是来找过夜的地方。我在找彼得·斯塔马京。我有理由相信他来找过你。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.8647} 如果你说这座城会吸引做梦的人，也许这就是我最终来到这里的原因。也许这就是它不肯放我走的原因。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.14758} 我知道你不是寻常人。你一进门，我就看出来了。你和彼得·斯塔马京有某种共同之处。我说不准……但我能感觉到。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.17112} 我只是来找他的。他来过这里，对吗？我没弄错吧？
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.12730} 我能理解你的父亲。
{Dialogs2.Days.Day3.Day3_Q10_FindStamatin.Day3_Q10_Lara_HelpForStamatin.21902} 我在找彼得·斯塔马京。我猜他也许来过这里。
