{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.32327} 这种情况还要持续多久？看来你和你想要拯救的人一样平庸。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.64936} 也许是，也许不是。你得回答几个问题来验证这个理论。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.57355} 谣言说你是天才。嗯，在这座城里，那从来不是真的。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.4829} 你看起来很倦怠。考虑到你被送进医院的情况，这并不意外。但还是告诉我：近几天你有没有注意到精力下降？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.26970} 整座城都在衰败。它笼罩我——笼罩所有人。这里的灵感火花如此稀少！而且熄灭得近乎犯罪般迅速……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.39083} 能不能少点诗意？你到底疲惫不疲惫？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.555} 那么，你在这里感觉如何？这个地方会榨干所有人。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.39985} 你是说你已经习惯疲惫了？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.31091} 我一直在想你的恶心。你说是宿醉……但你平常吃什么？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.14465} 灵感来临时我会忘记吃饭。而这座可悲城市的食物就是毒药。肉、内脏、干奶渣球、更多肉、馅饼——连那些也裹着动物脂肪。恶。唯一还算体面的食物在斯塔马京酒馆供应，因为他们用首都的配方。我以前常去那里……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.5867} “以前”？所以现在不去了？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.38041} 我看你只是个爱打听闲话的人。我在酒馆纵饮和医疗有什么关系？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.5580} 关系很大。我在确定你最近的接触者——也就是可能与 你有相同诊断的人。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.26278} 这一切都是毫无意义、乏味的扒拉。就像建房子，而不是建造多面体那样工程思想的杰作。你自己不觉得这一切相当琐碎吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.10842} 比如你的恶心。如果它是酒馆中毒的结果，我就需要检查那间酒馆。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.23900} 你为什么变得这么消瘦？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.35366} 我只是有一种高贵的清瘦相貌。你从未注意到，所有创造美的人都有纤细的骨架吗？艺术家是美的生态系统的一部分。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.41266} 你的瘦并不健康，阿里斯塔尔赫。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.64888} 你嫉妒吗？你自己倒可以减点重量——你的手腕像劳工。我以为一个充满大胆思想的科学家会显得更精致些。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.16403} 清瘦是一回事，营养障碍是另一回事。我在判断你属于哪一种。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.60474} 你满身瘀伤。这和我想象中的艺术之人不太一样。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.45395} 哦，那个……嗯……就把它看作过敏吧。对蠢人的过敏。它就是这样表现出来的。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.20292} 那如果你对蠢人过敏，你怎么受得了照镜子？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.59062} 真是机智极了。
