{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.692} 你碰巧有烟吗？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.23696} 我不抽烟。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.18395} 可惜了。镇上的香烟已经彻底断了。哪里都弄不到。戒断反应简直要把我逼疯。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.7582} 我去过大教堂。有人告诉我，关于……我在那里见到的东西，应该来问你。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.204} 大教堂。嗯。你知道吗，我就猜到你会这么说。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.14829} 屋里这些被翻乱的东西呢？是你在找香烟，还是这里出了别的事？看起来像遭了飓风。或者被人闯进来过。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.174} 我觉得你不该抽烟。你体质虚弱，童年时很可能患过哮喘。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.17080} 我不记得自己请你提建议。你一向这样吗？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.780} 只有在我饿的时候。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.30484} 我有一块干饼干。边缘碎了一点，但完全能吃。你要吗？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.2413} 这是个陷阱问题吗？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.8526} 经验告诉我，每个问题都是陷阱问题。你为什么来？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.7575} 梦筑师们。建造这座小镇的建筑师团队。你是他们中的一员，对吗？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.28020} 已经没有梦筑师了。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.28818} 可你还在这里。你可以给我讲讲大教堂。我今天去了那里，经历了一些极古怪的事。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.20894} 大教堂。嗯。你知道吗，我就猜到你会这么说。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Yulia_AllAtOnce.2513} 你为什么笑？
