{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.53094} 若不是我眼里只有漆黑空洞，我会为你落泪——你把自己的时间挥霍得多么糟！
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.45761} 呃。如果我会为什么感到可惜，那也是可惜把时间浪费在你们蹩脚的哑剧上。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.14598} 唉，苛责戏剧并非我们的职责。确实还留下许多粗糙边角。有些城区边界甚至和地图轮廓对不上！至于您的头发出了什么事，阁下……只有上帝知道。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.10942} 我的发型怎么了？
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.55139} 以前那个更好。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.52114} 正是如此。所以我们别互相抱怨了，免得您处于不利。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.10075} 但不要说我们没有警告过您：我们提醒过您，尝试次数有限。错误的代价很高。时间会滑走，会逃逸；抓住它，否则它就没了。您像是要把它抛来抛去，可所有碎片都散落了……
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.58347} 你是什么意思？
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.38888} 你迎来了终结，身上却没有汞合金。也就是说：你没有液态时间可用于回去再试一次。\n\n你死了，阁下，已无补救。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.65080} 这里有镜子。我可以砸碎它们，弄点更多汞合金。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.20422} 我们警告过你，这张安全网会磨损。\n\n您似乎还不明白，阁下。您的历史被抹去了。您死了。彻底死了。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.1399} 你是什么意思……？
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.16202} 你以为游戏中的死亡不是真正的死亡？这样的游戏有什么价值？\n\n这就是你的终局。门外空洞的黑暗。它令人沮丧到落泪，太早剪断故事的线，余下的只有不满足。\n\n你想征服死亡，阁下。但死亡征服了你。为此，我们真心遗憾。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.16860} 可我已经很努力了！
