{ArchiveDialogs.Day6.Q2_BurakhAfterLara.5} 现在听我说。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.32} 现在我来说，你来听。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.34} **布拉赫双眼冰冷，嘴唇紧抿。只有苍白发颤的手指泄露了他的激动。**
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.36} 我已经听够你说了。还是说，你终于打算说点有意思的？
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.39} 哦，看看他，到了这种处境还会挖苦。你觉得好玩吗？
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.43} 我承认，你关于拯救死人的那番话确实逗笑了我。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.45} **他沉重地叹了口气，甚至没有回嘴。**
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.47} 我原以为能和你像跟理性的人一样谈谈……首都来的医生，科学明星。我恨自己看错。别人早就说你蠢得彻底。我还是希望，只是他们不理解你。来吧，医生，再甩几句刻薄话。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.66} （这么聪明，又这么固执。丹科夫斯基，我要怎样才能敲进你脑子里？难道非得羞辱你，你才会停止把别人都当蠢货？难道我非得用你的办法，挖苦、嘲笑？）
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.69} 我不打算忍受这种态度。我给你一个道歉的机会。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.73} 不然呢？要向我决斗？
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.74} （我很抱歉。对你说尖利带刺的话，我觉得羞耻。但你从未道歉，所以我也做不到。）
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.75} 我不会堕落到那种地步。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.93} 当然，你没那个胆。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.96} （你不怕杀人，却怕承认自己的错误和软弱。用拳头比用谈话更容易让你懂事，但我太尊重你了。也请你对我表现出一点尊重。）
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.98} 所以你想决斗？那就决斗。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.100} 别做愚蠢的挑衅。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.101} 你说得对，我们分开吧，趁你还没提议再杀掉、烧掉什么人。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.103} （最糟的是，你的提议会有人听。我怕你——也替你害怕。小心点。）
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.102} 你走在刀锋上，布拉赫。记住，这里不只我一个刻薄的蠢货。
{ArchiveDialogs.Day6.Q2_BurakhAfterLara.76} 如果是又怎样？
