{ArchiveDialogs.Day6.Q2_LaraBurakh.48} 我说了，你不准去。
{ArchiveDialogs.Day6.Q2_LaraBurakh.49} 我一天要进这种房子二十回。这是我的工作。
{ArchiveDialogs.Day6.Q2_LaraBurakh.50} 那就说明，你肯定不需要再来一份毒药。
{ArchiveDialogs.Day6.Q2_LaraBurakh.52} 要是里面还有活人呢？
{ArchiveDialogs.Day6.Q2_LaraBurakh.53} 里面一个活人都没剩。要是还有，早就会喊，会点灯，会放烟了。那些只会散味儿。我说了，不让你进。
{ArchiveDialogs.Day6.Q2_LaraBurakh.54} 那就让他们烧吗？住户坐得这么安静，是因为他们害怕检查。你自己知道。
{ArchiveDialogs.Day6.Q2_LaraBurakh.55} 检查的人正是我。那当地住户又该怕什么？请给我解释一下。
{ArchiveDialogs.Day6.Q2_LaraBurakh.57} 哦！那就让他去吧。尊敬的丹科夫斯基学士。我请您以资深专家的身份检查这栋房子，安抚一下您同事那颗不安的良心。这是您的职业责任，同行情谊……对吧？请您让他相信，里面已经没有活人了。
{ArchiveDialogs.Day6.Q2_LaraBurakh.58} 我不会允许我的城市里的房屋被烧毁。这是野蛮行为。
{ArchiveDialogs.Day6.Q2_LaraBurakh.59} 在你的城市吗？真的吗？欢迎回来，亲爱的熊！就此言，这是我的城市，比你们的城市更重要！
{ArchiveDialogs.Day6.Q2_LaraBurakh.61} 让我们推迟摊牌吧。我是否正确理解感染者隐藏在那里？
{ArchiveDialogs.Day6.Q2_LaraBurakh.64} 你不太可能明白事情的本质，emshen（医者）。
{ArchiveDialogs.Day6.Q2_LaraBurakh.67} 我想我明白了。
{ArchiveDialogs.Day6.Q2_LaraBurakh.68} 我想我明白了。
{ArchiveDialogs.Day6.Q2_LaraBurakh.69} 但我不这么认为，emshen（医者）。
{ArchiveDialogs.Day6.Q2_LaraBurakh.72} 有一栋房子。里面堆满了尸体。细菌会在组织腐烂过程中迅速扩散。需要消灭疫源。到目前为止，我说得对吗？
{ArchiveDialogs.Day6.Q2_LaraBurakh.73} 你不是在听讲座。别用居高临下的口气说话。
{ArchiveDialogs.Day6.Q2_LaraBurakh.78} 我们有两种办法：烧掉，或埋葬。激进方案的优点：对勤务兵相对安全，且稳妥可靠。缺点是，据我对你们这地方的了解，会被视为亵渎，民众会愤怒，还可能引发动乱。
{ArchiveDialogs.Day6.Q2_LaraBurakh.111} 土葬的优点是尊重当地传统。缺点是把尸体运到墓地时，会给勤务兵和周围人都带来额外风险。
{ArchiveDialogs.Day6.Q2_LaraBurakh.81} 这不只是骚乱的威胁。如果焚烧死者，人们就会明白，现在什么都可以做了。你懂这区别吗，emshen（医者）？
{ArchiveDialogs.Day6.Q2_LaraBurakh.85} 这些不是孩子，布拉赫。且你不是他们的父亲。
{ArchiveDialogs.Day6.Q2_LaraBurakh.90} 你确定？
{ArchiveDialogs.Day6.Q2_LaraBurakh.91} 求你了！这里有活人！你们俩像两只公羊一样顶着脑袋……
{ArchiveDialogs.Day6.Q2_LaraBurakh.92} 我想了解他的决定。
{ArchiveDialogs.Day6.Q2_LaraBurakh.93} 我想了解他的决定。
{ArchiveDialogs.Day6.Q2_LaraBurakh.94} 这栋房子恐怕得烧掉。保住勤务兵吧。活人我心疼，死人我不心疼。
{ArchiveDialogs.Day6.Q2_LaraBurakh.95} 我的决定是：我们不烧房子。我相信这座小镇总有一天还会适合居住。
{ArchiveDialogs.Day6.Q2_LaraBurakh.105} 你不会明白的，布拉赫。因为我现在还什么都没决定。再说，这里似乎也不是我说了算。你看，那边英勇的当局代表已经来了。
{ArchiveDialogs.Day6.Q2_LaraBurakh.82} 这些不仅仅是传统。虽然死者躺在墓地里，但生并没有失去他们。
{ArchiveDialogs.Day6.Q2_LaraBurakh.86} 这么理解呢？他们在睡觉并等待第二次来临吗？
{ArchiveDialogs.Day6.Q2_LaraBurakh.88} 熊，你就像黄鼠狼丢样！
{ArchiveDialogs.Day6.Q2_LaraBurakh.108} 谢谢你的客气话黄鼠狼的行为就像成年人丢样与这些纵火犯不同冷静地做好自己的工作。
{ArchiveDialogs.Day6.Q2_LaraBurakh.97} 无论如何，墓地已经满了。那里再也没有地方安放新的死者。
{ArchiveDialogs.Day6.Q2_LaraBurakh.98} 目前还没有人取消乱葬坑。
{ArchiveDialogs.Day6.Q2_LaraBurakh.99} 整个草原都是我们的。Boddho（大地母亲）不会介意。
{ArchiveDialogs.Day6.Q2_LaraBurakh.100} 我竟是从您嘴里听到这话吗，尊敬的草药师？
{ArchiveDialogs.Day6.Q2_LaraBurakh.103} 这是在挑战我吗？
{ArchiveDialogs.Day6.Q2_LaraBurakh.83} 你忘了一件事。里面可能还有活人。
{ArchiveDialogs.Day6.Q2_LaraBurakh.84} 那就把房子打开，检查一下。
{ArchiveDialogs.Day6.Q2_LaraBurakh.89} 你自己去吗？
{ArchiveDialogs.Day6.Q2_LaraBurakh.74} 到目前为止是的。
{ArchiveDialogs.Day6.Q2_LaraBurakh.75} 我发现大学里修辞学教得很好。
{ArchiveDialogs.Day6.Q2_LaraBurakh.70} 你说得对。这事是有点……家族性质。
{ArchiveDialogs.Day6.Q2_LaraBurakh.71} 也许连我自己都不明白。
{ArchiveDialogs.Day6.Q2_LaraBurakh.63} 没人会烧房子。在我开口之前不会。
{ArchiveDialogs.Day6.Q2_LaraBurakh.56} 我理解得没错吧：这是有人藏匿病人？藏匿死者？天哪，你们这里可真臭……
{ArchiveDialogs.Day6.Q2_LaraBurakh.1} 我想帮忙！可来我这里寻求庇护的人，找到的却是毒药。毒药到处都是。熊，告诉他们！这太疯狂了！死者有死者该去的地方。
{ArchiveDialogs.Day6.Q2_LaraBurakh.4} ⁠
