{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.58710} 先生——医生？您已经来了……能给我半分钟，让我找一下病人病历吗？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.17377} 你找的时候，回答我一件事。昨天，在那座封板屋里，我找到一个人——大概比我们所有病人都与沙疫共存得更久。你研究过他吗？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.1834} 是的，先生。也不算是，先生……我们把他本人和他的遗骸都做了所有可能的检查——可仍然没能确定什么。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.36099} 认真的？我可是差点死在那里，才把那个病人弄出来！
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.10388} 请别太往心里去，医生先生……是我的错，可说真的：我看不出自己还能做什么——这个病例太特殊了。他撑了好几天！也许如果我们能把简单病例处理得更好，他才会对我们有用。人们说先从简单的做起，再碰难的，也不是没有道理。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.41436} 具体是什么意思？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.57047} 嗯……更准确的诊断——这样我们才有东西可以比较。统计总归有助于科学。这是明白的部分。也许还需要别的实验、别的检查——不只限于我们医院里的病人。由我给您讲这些，实在别扭，医生先生。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.438} 听起来不过是空洞的借口。我们就这么错失了机会，啧。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.36924} 您说得对。没有扎实的知识基础，就不可能取得突破——而我还没把基础铺好。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.1520} 我恐怕再也找不到另一个带着瘟疫活那么久的人了。他是一次幸运。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.23308} 好了——别再后悔。你还有半分钟，然后我们就开始处理今天的病人。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.42605} 到医院第五天，你还是没有我就看不懂检查结果？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.18697} 可惜。我本指望这个病例能让我们对瘟疫的研究哪怕前进一步。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.54172} 你找的时候，回答这个问题：昨天，在那座封板屋里，我找到一个人——看起来他比我们任何病人都更久地与沙疫共存。你检查过他的尸体吗？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.57764} 是的，先生。也不算是，先生……我们对他的遗骸做了所有可能的检查——可仍然没能确定什么。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.6775} 出什么事了？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.29434} 请原谅，都是些无用的念头。从天亮起我就一直在想，我们错失了机会……错失了更多了解瘟疫的机会。我们需要一个特定的病人——并发病人，但要是未用药就进入重症阶段的人。可现在去哪儿找这样的病人？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.45085} 昨天你的理论听起来可比这有希望。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.3456} 因为军队来了，医生先生。如果我们需要的病人正在某处游荡，军队真会分辨吗——他是五小时还是五天才进入重症？他们会不加分辨地对所有人做那件事……您知道的，军队通常会做的那种事。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.25769} 别惊慌。也别诽谤军队。就我个人而言，我很高兴他们来了。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.28647} 也许是我太急着想找那些“特殊”病人了。像是在赶路，却又同时来迟了。您明白吗？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.28452} 比你想象得更明白。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.44875} 要登上新的台阶，要取得突破，就必须先打下坚实的基础，对不对？可我们对瘟疫的理解并没有比从前更多。还能有什么突破？而现在——我的心告诉我——火车已经开走了。不如说，它刚刚到了——军队的列车。我们马上会有完全不同的麻烦，而您尤其如此。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.23216} 在你看来，“理解瘟疫”是什么意思？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.35234} 嗯……更准确的诊断——这样我们才有东西可以比较。统计总归有助于科学。这是明白的部分。也许还需要别的实验、别的检查——不只限于我们医院里的病人。由我给您讲这些，实在别扭，医生先生。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.14419} 真像大学。“把这个、那个，还有不知道什么东西都交上来——前天就该交。”
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.33252} 你说得对，小家伙——至少在这一点上。我是医生，却把太少时间花在瘟疫本身上。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.24408} 你到底准备好交出病人档案没有？我们开始干活吧。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.42434} 不。
