{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.27791} 您好，医生。您是来找我们尊敬的审判官办事吗？
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.64726} 赫伦，我有事找你。许多与紧急指挥部有关的事。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.62510} 我能奉上的只有哀悼。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.1140} 他们指控你什么了吗？还是传你作证？我会尽力把你捞出来。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.21442} 我是你无能的见证人，不过别担心——我不是以那个身份来的。昨天我花了一整天观察卡尔敏斯基审判官到来后的影响，并做了一些计算。因此，我决定转去为他服务，担任临时助手。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.49054} 什么？！
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.58558} 卡尔敏斯基审判官极其认真地接受了我的提议，并已经分派给我远比你给过我的更有意义的任务。你当然明白，细节我不能透露——审判庭不是你那过家家似的紧急指挥部。那么，恕我失陪，我得回去工作了。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.57760} 我早该料到你会这样。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.17934} 很高兴我们看法一致。布尔斯·弗拉德派我来，是为了在紧急时期维持秩序。可你，医生，你自己就是另一种紧急状态。我无力与你对抗。不过，我宁愿帮助灭火的人，而不是点新火的人。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.62206} 抛下紧急指挥部怎么能算“维持秩序”？
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.31851} 我相信，注定失败的事业应当被放弃，而不是靠人的劳动和技能维持它痛苦的垂死抽搐。我不会回紧急指挥部。日安，祝你的文书工作顺利，医生。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.62019} 也祝你顺利。祝你在审判庭顺利。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.53110} 你不过是个寻常的仕途人，赫伦：记仇，自我膨胀。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.63733} 我很抱歉，真的。也许我甚至会想念你那张恶毒的脸。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.61951} 没有你我应付不来，赫伦。也许我们可以谈谈……我不知道，新的安排？
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.25664} 别想贿赂我，也别想让我心软。我相信，注定失败的事业应当被放弃，而不是靠人的劳动和技能维持它痛苦的垂死抽搐。我不会回紧急指挥部。日安，祝你的文书工作顺利，医生。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.13104} 我不是个好上司，我知道。原谅我所做的一切。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.10025} 你疯了吗，赫伦？你知道审判庭是什么样的吗？对他们来说，你是可以消耗的东西，而且你很快就会明白。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.26162} 像所有缺乏精神纪律的人一样，你容易受阴谋论诱惑。我不会纵容你犯这种罪。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.22866} 我希望你不必用痛苦的方式明白我是对的。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.53031} 够了。布尔斯·弗拉德派我来，是为了在紧急时期维持秩序。可你，医生，你自己就是另一种紧急状态。我无力与你对抗。不过，我宁愿帮助灭火的人，而不是点新火的人。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.36938} 以后别哭着来诉说自己错得多可怕。虽然到那时，也许已经没人可找了。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.19739} 这场谈话变得很奇怪。看来我漏掉了什么。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.17041} 你承认自己的缺陷，比如毫无头绪。这算开始——但已经太迟。昨天我花了一整天观察卡尔敏斯基审判官到来后的影响，并做了一些计算。因此，我决定转去为他服务，担任临时助手。
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.50048} 你没事！至少现在没事。我刚开始担心……
{Dialogs2.Days.Day8.Day8_Q17_SecretaryReplacementKuron.Day8_Q17_Kuron_NoSecretary.24241} 当然，我没事。要我说，比昨天更好。
