{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.29955} 啊，是你。我本想问你有没有和凯恩家谈过，但看你的脸，我已经知道你谈过了。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.13892} 非常抱歉。我试着弄清他们究竟为什么怨恨你，可……毫无结果。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.23316} 真不幸。我也不知道自己原本在期待什么。我以为既然他们任命你负责瘟疫应对，至少会听听你的话。看来并非如此。这样说很难听，但小镇被封锁，我几乎有些庆幸。它给了我一点时间向它告别。至于你，祝你出逃顺利。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.860} 维克多说你耍了某种把戏，结果有十八个人因此失去理智。他这话是什么意思？
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.7017} 我不知道。我还是第一次听说这件事。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.15959} 他当时绷得很紧，像是不小心漏了口风。我追问时，他立刻竖起刺，拒绝再说。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.25052} 坦白说，我原本对他的评价更高。维克多看起来像凯恩家里讲理的那一个。他们之中唯一真正神志清楚的人。现在他却开始编造关于我的“事实”了。真可悲。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.8973} 这倒勾起我的兴趣了。如果我查到什么——一定告诉你。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.17635} 这里有事说不通。维克多确实给人一种极端务实的印象。可我一提到你，他的表情就全变了。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.1380} 无论那是什么意思，他都很坚决。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.31962} 现在是你在隐瞒什么了。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.11965} 是的，很遗憾，今天由我来传坏消息。我可以再试一次，或者去同格奥尔基谈谈。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.22951} 不，别费心了。我也不知道自己原本在期待什么。我以为既然他们任命你负责瘟疫应对，至少会听听你的话。这样说很难听，但小镇被封锁，我几乎有些庆幸。它给了我一点时间向它告别。至于你——祝你出逃顺利。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.17828} 我提起你时，维克多像是动了怒。现在连我也好奇，他究竟对你怀着什么怨恨。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Luricheva_Endspiel.2335} 谢谢。只是眼下，我甚至想象不出怎样才能逃离这座小镇。火车司机会帮我，这是真的，可看来只有一个火车司机还不够。
