{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.27469} 我跟你说，那是煤烟。又是工厂喷出来的。他们烧废料毫不在乎，结果都得我们来吸。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.28597} 如果是这样，那煤烟就在空气本身里……也就是说，我们全完了。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.28489} 那不是煤烟，是树脂。伊西多尔过去熬制他的药剂，树脂就是从那儿来的。它有土腥味。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.22532} 闻起来像屎。还“药师”呢。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.6300} 那又如何？没有屎，自然里就不会有任何好东西、有用的东西。各种病痛也都是自然造出来的。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.20560} 这话说得对。要是整个街区的人都聚起来，动动脑子，我们什么病都能找出药方。我们又不是傻子——两个脑袋总比一个强，十个就更强。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.19214} 瞧瞧，我们这儿来了位真正的医学教授！你见过显微镜吗？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.27404} 我？我是个有三十年经验的鞣匠——我现在就能去给那位大城里的教授讲讲酸酐！大学里可不教这个！
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.10887} 你说的教授就是这位吗？说曹操，曹操到……
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.8267} 我是医学学士。还不是教授。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.22858} 这煤烟是什么？某种霉菌？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.32080} 你何不自己看看？那里，墙上。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.3338} 教授，抱歉……我是说，咳，医学学士……我们没看见您过来。像我刚才说的，这是工厂来的煤烟。有毒，会把肺烘干。您能去他们那儿看看吗？算是检查一下……
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.6399} 不，不，是树脂。老布拉赫以前就在这里干活，你这个木脑袋！他用草药做酊剂。剩下的残渣——看，就这样爬满了墙。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.21460} 在你们镇上，残渣爬满墙是常事吗？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.32109} 你觉得好笑？五年前，我们经历过一件可怕的事……当时也在墙上见过类似的东西。那时候我们什么也没做：没清理，没烧掉，也没刮掉。然后，两天内死了一百三十个人。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.1777} 对，保险起见，最好别碰它。大概也最好别站得太近。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.25534} 一百三十人？两天？那这些斑痕确实值得看看。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.25854} 你们都回家。宁可小心些。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_PeopleAboutInfection.29867} 让开。我自己看。
