{Dialogs2.Eva.Morning.Eva_Morning_07.4089} 人们按你说的去做，你喜欢这种感觉吗？
{Dialogs2.Eva.Morning.Eva_Morning_07.12317} 是。至少这里还有一件事运转得像样：我一颁布法令，就会很快得到执行。
{Dialogs2.Eva.Morning.Eva_Morning_07.4517} 你大概根本不会去想，有多少双看不见的眼睛正盯着你。它们捕捉你说的每一个字，追随你的每一个手势。西蒙那时也是这样。
{Dialogs2.Eva.Morning.Eva_Morning_07.7045} 他的法令也执行得这么快吗？
{Dialogs2.Eva.Morning.Eva_Morning_07.57052} 他不颁布法令。他是个平静、善于沉思的人——格奥尔基虽然体面，反倒更有威胁。    西蒙……自成一体，所有人都能感觉到。于是他们自然会急着去迁就他。
{Dialogs2.Eva.Morning.Eva_Morning_07.39300} 这种没完没了的逢迎让我恶心。
{Dialogs2.Eva.Morning.Eva_Morning_07.44920} 这不是恶意。小镇里的社会就像一群鸟——逆着鸟群飞很难，所以人们总要找一股尾流，好让自己钻进去。
{Dialogs2.Eva.Morning.Eva_Morning_07.16077} 可惜我只知道西蒙的神话，不认识他本人。
{Dialogs2.Eva.Morning.Eva_Morning_07.64873} 是啊——可惜。我敢说，你想象中的他，和真正的他相去甚远。
{Dialogs2.Eva.Morning.Eva_Morning_07.37446} 那他到底是什么样的人？
{Dialogs2.Eva.Morning.Eva_Morning_07.52039} 他的脑子转得很快——你还在同一个念头角力时，他已经筛过一百个念头了。他能轻易看透任何对手，在辩论中，他会从对方内部把他们击败，姑且这么说吧。哪怕他老了，也没人跟得上他。
{Dialogs2.Eva.Morning.Eva_Morning_07.34140} 明白了。我确实想象过完全不同的样子——一位威严的长者。
{Dialogs2.Eva.Morning.Eva_Morning_07.44238} 听你这样说起他，我开始能感到你的丧失了。
{Dialogs2.Eva.Morning.Eva_Morning_07.26581} 已经不重要了。留下来的只有神话。
{Dialogs2.Eva.Morning.Eva_Morning_07.13533} 这座小镇骨子里父权极深。就连成年人也像是在寻找某个可以依附的权威，而不是自己思考。
{Dialogs2.Eva.Morning.Eva_Morning_07.57787} 我在另一道法令下签了名，街道就会改变。虽然并不总是往好的方向变……
{Dialogs2.Eva.Morning.Eva_Morning_07.47458} 我不确定自己是否配得上服从。到目前为止，我的那些举措只是在毁掉别人的人生。
