{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.48176} 有什么新消息？鸦足在哪儿？你答应过要跟他谈。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.17286} 我和他谈过了，但没有结果。他不会回来。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.24991} 没有他我也行！他可以以为没了他的信念我什么都不是，但这不是真的。什莫粉有效，真的有效！
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.4842} 告诉我，捕蝇花，你住在哪里？
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.35230} 就在这里。这是我的家，也是我的实—验—屋。这还不明显吗？
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.50455} 这样不行。去静水观星台避一避。告诉伊娃是我让你去的。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.60094} 我认识伊娃！她很好……给过我一些苹果干。她为什么会让你这种猪骗怪进静水观星台？
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.4567} 也许我并不是那么“猪骗怪”。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.5557} 伊娃太善良了，这点我无法反驳。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.7050} 除了这些“什莫粉”，你还能做别的东西吗？
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.60829} 我会混各种东西来帮人。我妈妈懂草药，她会和草原说话。她教我做药敷、swevery、twyrine（特维酒），还有各种药水。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.21525} 药敷是另一回事。比“什莫粉”好得多。去静水观星台。告诉伊娃是我让你去的。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.61343} 我怀疑这不是信念的问题。鸦足只是长大了，仅此而已。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.63845} 他不能！他答应过我们要永远做孩子。他答应过不会放开我……可现在他放了。好吧。他想老到什么程度都行。可我不想！
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.24273} 不管你愿不愿意，你都会变老。这是生物过程。我们都会衰老，都会改变。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.12975} 你为什么要那样做？为什么要放开让自己快乐的东西？你必须拼命抓住它们！什莫粉让我们受人尊敬。镇上每个孩子都知道，是我们用它们赶走了瘟疫！
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.39264} 他不是放开了你，他是放开了自己的过去。这两者不同。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.55760} 蠢货！为什么要放开让自己快乐的东西？你必须拼命抓住它们！什莫粉让我们受人尊敬。镇上每个孩子都知道，是我们用它们赶走了瘟疫！
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.38574} 你可以把天赋用在别处。除了你的“什莫粉”，你还能做别的东西吗？
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.34139} 抱歉戳破你的幻想，但打败瘟疫的不是你们。你们的“什莫粉”一直都是毒药。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.29194} 才不是！等瘟疫找上你，你会爬着来求我的！你觉得……雨会不会把我的什莫粉弄坏了？不久前下过雨。什莫粉被打湿了。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.8778} 你是在这里做的？露天？你住在哪里？
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.61471} 你为什么不自己去找他谈？诚实一点。告诉他你没有他不行。
{Dialogs2.Days.Day6.Day6_Q1_ShmowderGirl.Day6_Q1_ShmowderGirl_NoFriends.10840} 呸。没有他我也好得很！他可以以为没了他的信念我什么都不是，但这不是真的。什莫粉有效！它就是有效！
