{ArchiveDialogs.Day4.Day4_Eva_01_morning.1} 蜂鸟会倒着飞。你知道吗？
{ArchiveDialogs.Day4.Day4_Eva_01_morning.2} 显然。人人都知道。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.6} 水快用完了。不过没关系。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.10} 你有没有发现，越熟悉的路，走起来就越短？虽然客观距离其实一样。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.11} 你想念首都了，对吗？
{ArchiveDialogs.Day4.Day4_Eva_01_morning.12} 我起初以为这是感知的问题。第一次走一条新路时，人的心智会被新鲜印象占满——所以才显得更长。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.15} 嗯……我不怎么出门。所以呢？
{ArchiveDialogs.Day4.Day4_Eva_01_morning.18} 没什么。只是沉默。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.21} 为什么？
{ArchiveDialogs.Day4.Day4_Eva_01_morning.24} 因为心智并不完美。它反复无常。若能驯服它，你甚至可以让最坚固的事物——比如道路，或者细胞——变得可塑。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.27} 也许吧。多少有些。你怎么想到路上去了？
{ArchiveDialogs.Day4.Day4_Eva_01_morning.30} 不只是因为离家太远，虽然这也算一个缘由。我的意思是……是啊。我非得在一天之内回去不可！可我想就算现在动身也不可能。瞬间移动还没有发明出来。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.31} 我在想的是心智中的道路……逻辑的路径。如果常识告诉你，一个难题几年都无法克服，它其实也可能在三分钟内迎刃而解。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.32} 算了。只是想稍微倒出来一点。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.25} 你知道吗，我刚得到大学教席时，有位教授常说：“别做猪。猪不会抬头仰望太阳，哪怕它看得见阳光。”他说的是科学方法。“别做猪”……很多学生为此受了冒犯。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.26} 你到底听得懂我在说什么吗？
{ArchiveDialogs.Day4.Day4_Eva_01_morning.19} 那这是什么意思？我们的心智会影响客观现实吗？它并不会在物理上改变现实。那么心智影响的究竟是什么？我们脚步的速度？一般细胞过程的速度？新陈代谢？
{ArchiveDialogs.Day4.Day4_Eva_01_morning.20} 关键在于，我们用来界定“不可改变之物”的起点，可以是任何东西。这有科学证明。但要重新定义那些自幼便熟悉的事物，换一个角度看它们，确实需要一定努力。做得到，只是仍然要费力。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.13} 穿越陌生道路当然要花时间。你会分心，会对照地标，会看表——这些都费时间。可下一次，你就会走得笃定，哪怕那条路依旧相当长。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.14} 你知道，我用钟表给路计过时。很多次。从小我就迷上这个题目。每走一次同一条路，花的时间都会越来越少——当然，总有一个下限。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.3} 倒着也一样。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.4} 人也可以。
{ArchiveDialogs.Day4.Day4_Eva_01_morning.5} 不，我没有。
