{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.38244} 什么？
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.23392} 阿格拉娅。你把地下血河的事告诉了阿格拉娅。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.59268} 是。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.61225} 她是审判官，布拉赫。而你把一切都交给了她。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.42440} 疑心病真把你缠住了，Oynon（异乡人）。阿格拉娅是这镇上最讲理的人。她想终结瘟疫。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.42032} 她想终结这座镇上一切特殊之处。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.63775} 你又在说那座塔？Oynon（异乡人），我在这里出生长大。我离开时还没有塔。它不是这座镇子的心脏。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.51927} 这一点上我们永远不会同意。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.20539} 塔不是心脏。心脏是血肉之物。塔是它的灵魂。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.35958} 也许你是对的。也许这座镇还能得到另一种奇迹。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.41962} 她在利用你。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.57638} 泰涅格。如果一个人有自己的目标，而且目标和你不同——那并不意味着他们就是你的敌人，或是在利用你。你想救下那座塔，我觉得那是个错误，但我并不因此把你当成敌人。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.16495} 谁错了，我们会知道。时间会说明。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.26477} 你是瞎的。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.8782} 我也不把你当成敌人。但阿格拉娅是。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.15515} 我知道……我希望她这个决定能救下镇子。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.1030} 我知道她也在救自己。不是谁都愿意为了救自己而去救别人。几千条命！这是一种罕见的品质，只有两个人有：她，还有你。
{Dialogs2.Days.Day11.Day11_Q10_HaruspexAfterTheAbbatoir.Day11_Q10_Haruspex_BloodyAglaya.45924} 我不喜欢这种比较。
